"NAME","EXTERNAL ID","DATA CENTER","ERROR"
"STX007","STX007","","Duplicate external id specified: stx007"
"SWF032","SWF032","","Duplicate external id specified: swf032"
"swf032","swf032","","Duplicate external id specified: swf032"
"SXCH10","SXCH10","","Duplicate external id specified: sxch10"
"sxch10","sxch10","","Duplicate external id specified: sxch10"
"SXCH11","SXCH11","","Duplicate external id specified: sxch11"
"sxch11","sxch11","","Duplicate external id specified: sxch11"
"sxhub03","sxhub03","","Duplicate external id specified: sxhub03"
"sxhub03","sxhub03","","Duplicate external id specified: sxhub03"
"sxmbx03","sxmbx03","","Duplicate external id specified: sxmbx03"
"sxmbx03","sxmbx03","","Duplicate external id specified: sxmbx03"
"TLHSQL003PD","TLHSQL003PD","WCP Data Center","Duplicate external id specified: tlhsql003pd"
"TLHSQL003PD","TLHSQL003PD","WCP Data Center","Duplicate external id specified: tlhsql003pd"
"vsad3ci1","vsad3ci1","WCP Data Center","Duplicate external id specified: vsad3ci1"
"VSAD3CI1","VSAD3CI1","WCP Data Center","Duplicate external id specified: vsad3ci1"
