ruledefaultname,monitorInstance,time,minvalue,avgvalue,maxvalue,server,serverid,metric,type,external id,unit
Percent Memory Used,_self,2017-11-10T12:00:00Z,47.6485114,50.01013708,63.84164411,CGWAPP823PD.hq.huskyenergy.com,CGWAPP823PD,Memory Utilization,Baseline,CGWAPP823PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,41.12388805,41.36193162,42.07606236,CGWAPP846PD.hq.huskyenergy.com,CGWAPP846PD,Memory Utilization,Baseline,CGWAPP846PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,57.31957858,73.66901232,99.97558328,CGWAPP897PD.hq.huskyenergy.com,CGWAPP897PD,Memory Utilization,Baseline,CGWAPP897PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,27.0494478,38.72466935,57.80765977,CGWAPP974PD.hq.huskyenergy.com,CGWAPP974PD,Memory Utilization,Baseline,CGWAPP974PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,31.97502628,59.51708312,99.87791641,CGWBTL706PD.hq.huskyenergy.com,CGWBTL706PD,Memory Utilization,Baseline,CGWBTL706PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,33.97612655,35.27467301,48.33338897,CGWBTL919PD.hq.huskyenergy.com,CGWBTL919PD,Memory Utilization,Baseline,CGWBTL919PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,22.78947806,23.47104657,25.03560234,CGWDC01.hq.huskyenergy.com,CGWDC01,Memory Utilization,Baseline,CGWDC01.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,84.53285062,87.86690773,92.28473685,CGWEPO952PD.hq.huskyenergy.com,CGWEPO952PD,Memory Utilization,Baseline,CGWEPO952PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,52.38999007,73.34172381,89.29385161,ARSJMID01.hq.huskyenergy.com,ARSJMID01,Memory Utilization,Baseline,ARSJMID01.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,30.58376516,30.68040549,30.91030773,ARSJSQL02.hq.huskyenergy.com,ARSJSQL02,Memory Utilization,Baseline,ARSJSQL02.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,18.38878349,18.482372,18.73974041,ARSRDC01.hq.huskyenergy.com,ARSRDC01,Memory Utilization,Baseline,ARSRDC01.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,96.60607633,97.00488271,99.80466626,ARSRWEB01.hq.huskyenergy.com,ARSRWEB01,Memory Utilization,Baseline,ARSRWEB01.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,49.13997837,69.09219262,99.63374924,BTL08060203.hq.huskyenergy.com,BTL08060203,Memory Utilization,Baseline,BTL08060203.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,13.73021571,16.45801752,19.69353672,CGAVMCONV01.hq.huskyenergy.com,CGAVMCONV01,Memory Utilization,Baseline,CGAVMCONV01.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,47.66561216,49.26970327,56.85800639,CGCAPP1003PD.hq.huskyenergy.com,CGCAPP1003PD,Memory Utilization,Baseline,CGCAPP1003PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,14.07658086,14.11167656,14.16508305,CGCAPP1180TS.hq.huskyenergy.com,CGCAPP1180TS,Memory Utilization,Baseline,CGCAPP1180TS.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
