Name,External Id,Data Center
CGCAPP717DV,CGCAPP717DV,Rogers CoLo Data Center
CGCAPP718DV,CGCAPP718DV,Rogers CoLo Data Center
CGCAPP719DV,CGCAPP719DV,Rogers CoLo Data Center
CGCAPP720DV,CGCAPP720DV,Rogers CoLo Data Center
CGCAPP733TR,CGCAPP733TR,
CGCAPP734TS,CGCAPP734TS,Rogers CoLo Data Center
CGCAPP735TS,CGCAPP735TS,Rogers CoLo Data Center
CGCAPP737TS,CGCAPP737TS,
CGCAPP738TS,CGCAPP738TS,
CGCAPP739TS,CGCAPP739TS,
CGCAPP740TS,CGCAPP740TS,
CGCAPP744PP,CGCAPP744PP,
CGCAPP745PP,CGCAPP745PP,
CGCAPP746PP,CGCAPP746PP,
CGCAPP747PP,CGCAPP747PP,
CGCAPP748PP,CGCAPP748PP,
CGCAPP749PP,CGCAPP749PP,
CGCAPP757DV,CGCAPP757DV,Rogers CoLo Data Center
CGCAPP764TS,CGCAPP764TS,Rogers CoLo Data Center
CGCAPP765DV,CGCAPP765DV,Rogers CoLo Data Center
CGCAPP768TS,CGCAPP768TS,Rogers CoLo Data Center
CGCAPP769TS,CGCAPP769TS,Rogers CoLo Data Center
CGCAPP770TS,CGCAPP770TS,Rogers CoLo Data Center
CGCAPP772TS,CGCAPP772TS,Rogers CoLo Data Center
cgcapp773ts.hq,cgcapp773ts.hq,
cgcapp774ts.hq,cgcapp774ts.hq,
CGCAPP775TS,CGCAPP775TS,
CGCAPP776DV,CGCAPP776DV,Rogers CoLo Data Center
CGCAPP777DV,CGCAPP777DV,Rogers CoLo Data Center
CGCAPP778DV,CGCAPP778DV,Rogers CoLo Data Center
CGCAPP791DV,CGCAPP791DV,
CGCAPP808DV,CGCAPP808DV,Rogers CoLo Data Center
CGCAPP818TS,CGCAPP818TS,
CGCAPP820TS,CGCAPP820TS,
CGCAPP821DV,CGCAPP821DV,Rogers CoLo Data Center
CGCAPP822TS,CGCAPP822TS,Rogers CoLo Data Center
CGCAPP824PP,CGCAPP824PP,
CGCAPP825PP,CGCAPP825PP,
CGCAPP827QA,CGCAPP827QA,Rogers CoLo Data Center
CGCAPP828QA,CGCAPP828QA,Rogers CoLo Data Center
CGCAPP829QA,CGCAPP829QA,Rogers CoLo Data Center
CGCAPP830QA,CGCAPP830QA,Rogers CoLo Data Center
CGCAPP831QA,CGCAPP831QA,Rogers CoLo Data Center
CGCAPP832QA,CGCAPP832QA,Rogers CoLo Data Center
CGCAPP833QA,CGCAPP833QA,Rogers CoLo Data Center
