"WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","TRUCKED_OIL","MTD_DATE","ERROR"
"100143605206W402","N","0","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"120133206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115053206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"112053206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"118133206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100090304904W403","N","0","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"112052906404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"102042906404W400","N","0.04982","0.6663636363636363636363636363636363636364","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100163004602W402","N","0","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"105153206404W400","N","0.04982","34.66727272727272727272727272727272727273","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111022806404W400","N","0.04982","24.77181818181818181818181818181818181818","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110052906404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"104163206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
