"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g0RJAAY","1C0131904704W400","N","0.08439","0","08-MAY-18","Item Updated"
"a8k16000000g04dAAA","1C0131804704W400","N","0.08041","17.69","08-MAY-18","Item Updated"
"a8k16000000g0V8AAI","1C0123004704W400","N","0.08037","0","08-MAY-18","Item Updated"
"a8k16000000g0RGAAY","1C0121904704W400","N","0.04345","13.17","08-MAY-18","Item Updated"
"a8k16000000g04bAAA","1C0121804704W400","N","0.0804","9.91","08-MAY-18","Item Updated"
"a8k16000000g0rJAAQ","1C0121704704W400","N","0.0804","25.58","08-MAY-18","Item Updated"
"a8k16000000g0KRAAY","1C0113104604W403","N","0","0","08-MAY-18","Item Updated"
"a8k16000000g0V5AAI","1C0103004704W400","N","0.08034","6.14","08-MAY-18","Item Updated"
"a8k16000000g07aAAA","1C0101904704W400","N","0.0804","18.6","08-MAY-18","Item Updated"
"a8k16000000g04YAAQ","1C0101804704W400","N","0.08037","16.85","08-MAY-18","Item Updated"
"a8k16000000g0rGAAQ","1C0101704704W400","N","0.08438","20.2","08-MAY-18","Item Updated"
"a8k16000000g0V4AAI","1C0083004704W400","N","0.08038","6.06","08-MAY-18","Item Updated"
"a8k16000000g01MAAQ","1C0081904704W400","N","0.08031","3.35","08-MAY-18","Item Updated"
"a8k16000000g04VAAQ","1C0081804704W400","N","0.0804","13.67","08-MAY-18","Item Updated"
"a8k16000000g0V2AAI","1C0073004704W400","N","0.08039","15.56","08-MAY-18","Item Updated"
"a8k16000000g04TAAQ","1C0071804704W400","N","0.08078","0","08-MAY-18","Item Updated"
"a8k16000000g0UzAAI","1C0063004704W400","N","0.0803","3.54","08-MAY-18","Item Updated"
"a8k16000000g0QQAAY","1C0062004704W400","N","0.08038","15.68","08-MAY-18","Item Updated"
"a8k16000000g07SAAQ","1C0061904704W400","N","0.0804","39.83","08-MAY-18","Item Updated"
"a8k16000000g01HAAQ","1C0061804704W400","N","0.0804","6.34","08-MAY-18","Item Updated"
"a8k16000000g0alAAA","1C0061704704W400","N","0.07798","8.83","08-MAY-18","Item Updated"
"a8k16000000g0aaAAA","1C0061604704W400","N","0.08039","8.01","08-MAY-18","Item Updated"
"a8k16000000g0gGAAQ","1C0042904704W400","N","0.06766","3.13","08-MAY-18","Item Updated"
"a8k16000000g0QLAAY","1C0042004704W400","N","0.0804","37.56","08-MAY-18","Item Updated"
"a8k16000000g07PAAQ","1C0041904704W400","N","0.08045","17.96","08-MAY-18","Item Updated"
"a8k16000000g0aXAAQ","1C0041604704W400","N","0.08662","0","08-MAY-18","Item Updated"
"a8k16000000g0UsAAI","1C0023004704W400","N","0.08037","5.48","08-MAY-18","Item Updated"
"a8k16000000g01IAAQ","1C0021904704W400","N","0.00281","1.43","08-MAY-18","Item Updated"
"a8k16000000g0rSAAQ","1C0021804704W400","N","0.08039","14.4","08-MAY-18","Item Updated"
"a8k16000000g0aiAAA","1C0021704704W400","N","0.00281","0","08-MAY-18","Item Updated"
"a8k16000000g0bMAAQ","1C0012304801W403","N","0","0","08-MAY-18","Item Updated"
"a8k16000000g0ahAAA","1C0011704704W400","N","0.16209","14.33","08-MAY-18","Item Updated"
"a8k16000000g0JrAAI","1B2090504606W400","N","0.01536","10.82","08-MAY-18","Item Updated"
"a8k16000000g0JzAAI","1B2061504506W400","N","0.03552","13.06","08-MAY-18","Item Updated"
"a8k16000000g0DXAAY","1B2052704506W400","N","0.03913","0","08-MAY-18","Item Updated"
"a8k16000000g0D7AAI","1B0163004506W400","N","0.00235","8.93","08-MAY-18","Item Updated"
"a8k16000000g0F2AAI","1B0162704506W400","N","0.07929","0","08-MAY-18","Item Updated"
"a8k16000000g0bUAAQ","1B0161604506W400","N","0.02339","16.3","08-MAY-18","Item Updated"
"a8k16000000g0RoAAI","1B0160704606W400","N","0.00105","6.92","08-MAY-18","Item Updated"
"a8k16000000g0H8AAI","1B0153304506W400","N","0.04413","3.24","08-MAY-18","Item Updated"
"a8k16000000g0aNAAQ","1B0153204506W400","N","0.00036","1.24","08-MAY-18","Item Updated"
"a8k16000000g0mHAAQ","1B0152904506W400","N","0.00339","8.27","08-MAY-18","Item Updated"
"a8k16000000g0mlAAA","1B0152804506W400","N","0.0351","4.12","08-MAY-18","Item Updated"
"a8k16000000g0DPAAY","1B0152204506W400","N","0.03515","10.47","08-MAY-18","Item Updated"
"a8k16000000g0rhAAA","1B0152104506W400","N","0.0509","5.92","08-MAY-18","Item Updated"
"a8k16000000g0mUAAQ","1B0152004506W400","N","0.1407","5.22","08-MAY-18","Item Updated"
"a8k16000000g0bYAAQ","1B0151704506W400","N","0.113","0","08-MAY-18","Item Updated"
"a8k16000000g0MaAAI","1B0150504606W400","N","0.04369","7.03","08-MAY-18","Item Updated"
"a8k16000000g0H6AAI","1B0143304506W400","N","0.00036","11.61","08-MAY-18","Item Updated"
"a8k16000000g0B3AAI","1B0143004506W400","N","0.01871","8.36","08-MAY-18","Item Updated"
"a8k16000000g0mGAAQ","1B0142904506W400","N","0.00248","8.45","08-MAY-18","Item Updated"
"a8k16000000g0VhAAI","1B0141704606W400","N","0.00068","9.45","08-MAY-18","Item Updated"
