"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","TRUCKED_OIL","MTD_DATE","STATUS"
"a8k16000000fxx7AAA","111160404821W303","Y","0.16194","2.99090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000g0TCAAY","192101104828W300","Y","0.05289","5.16363636363636363636363636363636363636","09-MAY-18","Item Updated"
"a8k16000000fyYMAAY","105100904902W400","Y","0.42565","0","10-MAY-18","Item Updated"
"a8k16000000fyYsAAI","100092805104W400","Y","0.37372","0.2645454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000fysiAAA","102040505106W400","Y","0.10038","0","10-MAY-18","Item Updated"
"a8k16000000fzJbAAI","111090904920W302","Y","0.34467","0","03-MAY-18","Item Updated"
"a8k16000000g0qsAAA","100041805405W402","Y","0.2149","1.88","09-MAY-18","Item Updated"
"a8k16000000fylHAAQ","103151005207W400","Y","0.13255","0","09-MAY-18","Item Updated"
"a8k16000000g0naAAA","100131504601W400","Y","0.23877","0","10-MAY-18","Item Updated"
"a8k16000000fzu6AAA","106023205207W400","Y","0.10299","0","09-MAY-18","Item Updated"
"a8k16000000g0WzAAI","141022304828W300","Y","0.39948","0","10-MAY-18","Item Updated"
"a8k16000000g08SAAQ","111120105027W300","Y","0.008","1.76181818181818181818181818181818181818","09-MAY-18","Item Updated"
"a8k16000000fyawAAA","100030705406W400","Y","0.03061","4.75","09-MAY-18","Item Updated"
"a8k16000000g0DsAAI","131161005125W302","Y","0.2923","0","09-MAY-18","Item Updated"
"a8k16000000g0egAAA","108041505207W400","Y","0.0023","6.16363636363636363636363636363636363636","10-MAY-18","Item Updated"
"a8k16000000g0UkAAI","100092504402W400","Y","0.06138","2.12363636363636363636363636363636363636","09-MAY-18","Item Updated"
"a8k16000000g0q0AAA","100142205207W400","Y","0.06744","5.2","09-MAY-18","Item Updated"
"a8k16000000fyh0AAA","102163605107W400","Y","0.09493","0","09-MAY-18","Item Updated"
"a8k16000000g0RgAAI","104101104507W400","Y","0","3.73272727272727272727272727272727272727","09-MAY-18","Item Updated"
"a8k16000000fym1AAA","102160504902W400","Y","0.61797","4.49272727272727272727272727272727272727","10-MAY-18","Item Updated"
"a8k16000000g1vpAAA","111130204921W302","Y","0.47861","1.73454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g102AAA","102070105207W400","Y","0.13825","2.49636363636363636363636363636363636364","09-MAY-18","Item Updated"
"a8k16000000g1izAAA","141023504924W302","Y","0.10713","1.80545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000fyYRAAY","106110904902W400","Y","0.12648","2.69909090909090909090909090909090909091","09-MAY-18","Item Updated"
"a8k16000000fxg6AAA","191033304924W300","Y","0.1351","1.94636363636363636363636363636363636364","10-MAY-18","Item Updated"
"a8k16000000g1mBAAQ","100150104903W400","Y","0.09584","3.46818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000g1IOAAY","131112704822W303","Y","0.0423","1.73454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g0xTAAQ","111152305126W302","Y","0.04133","0","02-MAY-18","Item Updated"
"a8k16000000fxg7AAA","191043304924W300","Y","0.26939","1.54454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g17CAAQ","111051304728W302","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g1vHAAQ","100161305302W400","Y","0.02756","22.38909090909090909090909090909090909091","10-MAY-18","Item Updated"
"a8k16000000g0xUAAQ","112062705123W304","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g1JlAAI","102053105306W402","Y","0.07097","0","09-MAY-18","Item Updated"
"a8k16000000g1rvAAA","112063504924W302","Y","0.0023","0","10-MAY-18","Item Updated"
"a8k16000000g1TeAAI","100151104705W400","Y","0.09923","0","09-MAY-18","Item Updated"
"a8k16000000g21PAAQ","100150505305W400","Y","0.008","0","10-MAY-18","Item Updated"
"a8k16000000g19LAAQ","193083505120W300","Y","0.26341","1.54181818181818181818181818181818181818","10-MAY-18","Item Updated"
"a8k16000000g12GAAQ","141121704722W302","Y","0.11959","1.38090909090909090909090909090909090909","10-MAY-18","Item Updated"
"a8k16000000fynCAAQ","100080405201W400","Y","0.65162","2.29090909090909090909090909090909090909","10-MAY-18","Item Updated"
"a8k16000000g1t6AAA","111013205123W302","Y","0.06","0","10-MAY-18","Item Updated"
"a8k16000000g10iAAA","102083305101W400","Y","0.16897","0.0172727272727272727272727272727272727273","10-MAY-18","Item Updated"
"a8k16000000g1mjAAA","191012505123W300","Y","0.4473","1.96181818181818181818181818181818181818","09-MAY-18","Item Updated"
"a8k16000000fxUeAAI","100140505106W400","Y","0.00318","0","10-MAY-18","Item Updated"
"a8k16000000g02WAAQ","111012705125W300","Y","0.18946","2.35090909090909090909090909090909090909","10-MAY-18","Item Updated"
"a8k16000000g1MHAAY","100082504806W400","Y","0.09775","0","10-MAY-18","Item Updated"
"a8k16000000g1pyAAA","191102505123W300","Y","0.30591","0","09-MAY-18","Item Updated"
"a8k16000000g0vQAAQ","192031504822W300","Y","0.06667","0","09-MAY-18","Item Updated"
"a8k16000000g1utAAA","193013505120W300","Y","0.13777","0","10-MAY-18","Item Updated"
"a8k16000000g1tcAAA","111140605223W303","Y","0","3.86636363636363636363636363636363636364","10-MAY-18","Item Updated"
"a8k16000000fzweAAA","100023104605W400","Y","0.013","0","10-MAY-18","Item Updated"
"a8k16000000g1TmAAI","102151104705W400","Y","0.1282","0","09-MAY-18","Item Updated"
"a8k16000000g1RkAAI","100031104301W400","Y","0.00447","0","10-MAY-18","Item Updated"
"a8k16000000g1ssAAA","191061605223W302","Y","0.13797","0","10-MAY-18","Item Updated"
"a8k16000000g1xNAAQ","100010305101W400","Y","0.108","0","10-MAY-18","Item Updated"
"a8k16000000g0vGAAQ","101110104828W300","Y","0.6023","0","09-MAY-18","Item Updated"
"a8k16000000g0vHAAQ","111130104828W300","Y","0.60363","0","09-MAY-18","Item Updated"
"a8k16000000g1xOAAQ","100101305302W400","Y","0.06621","7.83545454545454545454545454545454545455","10-MAY-18","Item Updated"
"a8k16000000g1xEAAQ","191142605021W302","Y","0.1161","0","09-MAY-18","Item Updated"
"a8k16000000g1sEAAQ","100120704902W400","Y","0","5.16545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000g1x7AAA","103081205204W400","Y","0.05145","6.24545454545454545454545454545454545455","10-MAY-18","Item Updated"
"a8k16000000g1rRAAQ","111130404826W300","Y","0.11516","1.62","10-MAY-18","Item Updated"
"a8k16000000fym5AAA","106160504902W400","Y","0.08787","7.24727272727272727272727272727272727273","09-MAY-18","Item Updated"
"a8k16000000g1JEAAY","102111404902W400","Y","0.01519","19.59818181818181818181818181818181818182","10-MAY-18","Item Updated"
"a8k16000000g1InAAI","111030704826W300","Y","0.03811","10.75818181818181818181818181818181818182","10-MAY-18","Item Updated"
"a8k16000000g1YXAAY","121121606127W300","Y","0.008","0","10-MAY-18","Item Updated"
"a8k16000000g1JdAAI","103033504802W400","Y","0.35","0","10-MAY-18","Item Updated"
"a8k16000000g20oAAA","102132205406W400","Y","0.07279","0","10-MAY-18","Item Updated"
"a8k16000000g1qDAAQ","100040905305W400","Y","0.02927","4.44090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000g1vLAAQ","100081405302W400","Y","0.03017","12.66454545454545454545454545454545454545","10-MAY-18","Item Updated"
"a8k16000000g1GFAAY","100122704906W400","Y","0.0434","5.44818181818181818181818181818181818182","10-MAY-18","Item Updated"
"a8k16000000g219AAA","100150705301W400","Y","0.358","0","10-MAY-18","Item Updated"
"a8k16000000fyYSAAY","103120904902W400","Y","0.0023","0","10-MAY-18","Item Updated"
"a8k16000000g0vxAAA","104113504802W400","Y","0.05551","2.69272727272727272727272727272727272727","09-MAY-18","Item Updated"
"a8k16000000g0BXAAY","100083504701W400","Y","0.24267","0","09-MAY-18","Item Updated"
"a8k16000000g0vuAAA","102070504902W400","Y","0.075","0","10-MAY-18","Item Updated"
"a8k16000000fxkLAAQ","111013504822W303","Y","0.15879","2.02545454545454545454545454545454545455","10-MAY-18","Item Updated"
"a8k16000000g0FWAAY","191032305026W300","Y","0.38058","1.86545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000g1qxAAA","111062305022W300","Y","0.19804","0","10-MAY-18","Item Updated"
"a8k16000000g1sWAAQ","191052305022W300","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000fyYUAAY","105120904902W400","Y","0.2223","0","10-MAY-18","Item Updated"
"a8k16000000g1rOAAQ","111060704825W303","Y","0.14403","1.70818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000g1EvAAI","100141504906W400","Y","0.19391","1.56363636363636363636363636363636363636","09-MAY-18","Item Updated"
"a8k16000000g1eGAAQ","112023304924W300","Y","0.01181","2.00363636363636363636363636363636363636","09-MAY-18","Item Updated"
"a8k16000000fygrAAA","100130105207W402","Y","0","8.38181818181818181818181818181818181818","10-MAY-18","Item Updated"
"a8k16000000g1KAAAY","111143404922W303","Y","0.33545","1.94090909090909090909090909090909090909","10-MAY-18","Item Updated"
"a8k16000000fxYOAAY","111133505126W302","Y","0.11469","2.50909090909090909090909090909090909091","09-MAY-18","Item Updated"
"a8k16000000g0vzAAA","111151504826W300","Y","0.2023","0","10-MAY-18","Item Updated"
"a8k16000000fxjBAAQ","193011304723W300","Y","0.035","0","02-MAY-18","Item Updated"
"a8k16000000g1u8AAA","100040205207W400","Y","0.1578","17.58","09-MAY-18","Item Updated"
"a8k16000000fz6dAAA","111101204528W300","Y","0.125","3.83272727272727272727272727272727272727","09-MAY-18","Item Updated"
"a8k16000000g20bAAA","191042505026W300","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g1LiAAI","100073504701W402","Y","0.03161","0","10-MAY-18","Item Updated"
"a8k16000000fxUTAAY","141152105125W302","Y","0.0023","0","02-MAY-18","Item Updated"
"a8k16000000g21yAAA","101021204924W302","Y","0.10592","2.06727272727272727272727272727272727273","09-MAY-18","Item Updated"
"a8k1L000000KymEQAS","111162905123W303","Y","0.0023","0","10-MAY-18","Item Updated"
"a8k1L000000KymJQAS","111093405023W303","Y","0.27632","4.60363636363636363636363636363636363636","10-MAY-18","Item Updated"
"a8k1L000000KyocQAC","111062505123W304","Y","0.19746","0","10-MAY-18","Item Updated"
"a8k1L000000KynKQAS","192152405123W300","Y","0.29647","0","09-MAY-18","Item Updated"
"a8k16000000g1DVAAY","100053005001W402","Y","0.05683","5.63454545454545454545454545454545454545","10-MAY-18","Item Updated"
"a8k16000000g0uRAAQ","111122205123W302","Y","0.0023","0","10-MAY-18","Item Updated"
