"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(DBT.TICKET_SHIPMENT_OIL)","MAX(DBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g0RXAAY","100090904504W400","Y","0.14116","19.34","08-MAY-18","Item Updated"
"a8k16000000g0hgAAA","100090904806W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g2BsAAI","100090905406W402","Y","0.01258","27.65","08-MAY-18","Item Updated"
"a8k16000000fyxnAAA","100091205301W400","Y","0","0","08-MAY-18","Item Updated"
"a8k16000000g0nWAAQ","100091304601W400","Y","0.67575","0","09-MAY-18","Item Updated"
"a8k16000000g0nZAAQ","100091504601W400","Y","0.308","0","09-MAY-18","Item Updated"
"a8k16000000g0xgAAA","100091605105W402","Y","0.03066","0","09-MAY-18","Item Updated"
"a8k16000000g10gAAA","100091704806W402","Y","0.07001","63.25","08-MAY-18","Item Updated"
"a8k16000000fyupAAA","100091905106W400","Y","0.34099","24.48","08-MAY-18","Item Updated"
"a8k16000000fyt8AAA","100091905201W400","Y","0","28.11","09-MAY-18","Item Updated"
"a8k16000000g0w5AAA","100092005405W400","Y","0.17129","0","08-MAY-18","Item Updated"
"a8k16000000g0b2AAA","100092104802W400","Y","0.182","0","09-MAY-18","Item Updated"
"a8k16000000g0fZAAQ","100092105305W400","Y","0.1","0","09-MAY-18","Item Updated"
"a8k16000000fzuyAAA","100092105405W400","Y","0.12963","0","09-MAY-18","Item Updated"
"a8k16000000g1s0AAA","100092205006W400","Y","0","66.28","08-MAY-18","Item Updated"
"a8k16000000fycQAAQ","100092205406W400","Y","0.04912","43.18","08-MAY-18","Item Updated"
"a8k16000000g0dyAAA","100092305003W400","Y","0.448","0","09-MAY-18","Item Updated"
"a8k16000000g0UkAAI","100092504402W400","Y","0.06138","23.36","08-MAY-18","Item Updated"
"a8k16000000g1x4AAA","100092704802W402","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000fyYsAAI","100092805104W400","Y","0.37372","8.15","09-MAY-18","Item Updated"
"a8k16000000g1JjAAI","100093105306W400","Y","0.01155","25.3","08-MAY-18","Item Updated"
"a8k16000000fybqAAA","100093204902W400","Y","0.04943","0","09-MAY-18","Item Updated"
"a8k16000000g1LbAAI","100093304802W402","Y","0.2023","0","08-MAY-18","Item Updated"
"a8k16000000g0BYAAY","100093504701W400","Y","0.0973","0","09-MAY-18","Item Updated"
"a8k1L000000KykOQAS","100093504806W400","Y","0.0235","28.35","08-MAY-18","Item Updated"
"a8k16000000fylzAAA","100093505005W400","Y","0.0023","8.13","07-MAY-18","Item Updated"
"a8k16000000fyguAAA","100093605107W400","Y","0.02467","0","09-MAY-18","Item Updated"
"a8k16000000fymkAAA","100100605006W400","Y","0","0","08-MAY-18","Item Updated"
"a8k16000000fzuVAAQ","100100605301W400","Y","0.05","0","09-MAY-18","Item Updated"
"a8k16000000g0RZAAY","100100904504W400","Y","0.11741","36.45","08-MAY-18","Item Updated"
"a8k16000000fypZAAQ","100100905406W400","Y","0.13215","0","08-MAY-18","Item Updated"
"a8k16000000fyu8AAA","100101105204W400","Y","0.08012","0","08-MAY-18","Item Updated"
"a8k16000000fyxoAAA","100101205301W400","Y","0.15024","48.88","09-MAY-18","Item Updated"
"a8k16000000fzxcAAA","100101304701W400","Y","0","75.31","09-MAY-18","Item Updated"
"a8k16000000g1xOAAQ","100101305302W400","Y","0.06621","86.19","09-MAY-18","Item Updated"
"a8k16000000g0lIAAQ","100101505302W400","Y","0.09605","24.1","09-MAY-18","Item Updated"
"a8k16000000g0eqAAA","100101605207W400","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000g0qkAAA","100101605405W402","Y","0.11112","48.09","08-MAY-18","Item Updated"
"a8k16000000g0brAAA","100101904804W400","Y","0.1823","0","09-MAY-18","Item Updated"
