"WELL_LOCATION","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","ERROR"
"109133206404W400","0.04982","83.04","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"109162906404W400","0.04982","145.1","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"109163206404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110022806404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110042906404W400","0.04982","306.86","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110043206404W400","0.04982","187.14","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110052906404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110053206404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110070604923W300","0.01933","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110072806404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110123206404W400","0.04982","132.45","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110133206404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110162906404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111011505120W300","0","9.77","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111011505120w300
Error fields: PVR_UWI_RAW__c "
"111011505120W300","0.549","9.77","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111011505120w300
Error fields: PVR_UWI_RAW__c "
"111011705019W300","0.298","1.72","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111011705019w300
Error fields: PVR_UWI_RAW__c "
"111011705019W300","0.575","1.72","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111011705019w300
Error fields: PVR_UWI_RAW__c "
"111021505025W302","0","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111022806404W400","0.04982","246.61","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111030705019W300","0","0","03-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111030705019w300
Error fields: PVR_UWI_RAW__c "
"111030705019W300","0.116","0","03-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111030705019w300
Error fields: PVR_UWI_RAW__c "
"111042906404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111050705019W300","0","0","03-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111050705019w300
Error fields: PVR_UWI_RAW__c "
"111050705019W300","0.011","0","03-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111050705019w300
Error fields: PVR_UWI_RAW__c "
"111052906404W400","0.04982","325.58","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111053206404W400","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111060105024W302","0.023","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111060705019W300","0.008","-594.37","08-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111060705019w300
Error fields: PVR_UWI_RAW__c "
"111060705019W300","0.07375","-594.37","08-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111060705019w300
Error fields: PVR_UWI_RAW__c "
"111061204824W305","0","0","02-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111071705019W300","0","9.71","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 111071705019w300
Error fields: PVR_UWI_RAW__c "
