"ID","U_APPLICATION","EXTERNAL_ID","NAME","USED_FOR","HOST_NAME","MANUFACTURER","MODEL_ID","OS","OS_VERSION","SHORT_DESCRIPTION","SYS_CLASS_NAME","SYS_CREATED_ON","SYS_CREATED_BY","U_CMDB_CRITICALITY","STATUS"
"a8m6300000004PXAAY","IPS (Integrated Pipeline System - Midstream)","CGWAPP647PD","CGWAPP647PD","Production","CGWAPP647PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","IPS Website Application server - Secure Zone



Location DC:Colo","Windows Server","2014-08-28 17:03","mid_husky","(5) Mission Critical","Item Created"
"a8m6300000003D7AAI","Sharescan (ecopy)","CGWAPP651PD","CGWAPP651PD","Production","CGWAPP651PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","20150825 - Added related Application, as per data collected from recent patching","Windows Server","2014-06-06 16:17","mid_husky","(5) Mission Critical","Item Updated"
"a8m6300000003CpAAI","NetApp Operations Manager","CGWAPP654PD","CGWAPP654PD","Development","CGWAPP654PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","NetApp OnCommand Tools","Windows Server","2014-05-20 15:25","mid_husky","(1) Non-Critical","Item Updated"
"a8m6300000003LLAAY","opsInfo (Calgary), CRFM - Corporate Responsibility Facility Master","CGWAPP659PD","CGWAPP659PD","Production","CGWAPP659PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Production web/application server for opsInfo and CRFM","Windows Server","2014-06-06 15:40","mid_husky","(4) Business Critical","Item Updated"
"a8m6300000003DsAAI","opsInfo (Calgary)","CGWAPP660PD","CGWAPP660PD","Production","CGWAPP660PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","production reporting server for opsInfo","Windows Server","2014-06-06 15:38","mid_husky","(4) Business Critical","Item Updated"
"a8m6300000003HjAAI","opsInfo (Calgary), CRFM - Corporate Responsibility Facility Master","CGWAPP661PD","CGWAPP661PD","Development","CGWAPP661PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Changed from Production server to Development server. Server was not being used in a production capacity so the business users gave go ahead to switch environments to test new application (opsInfo) version in Q4 2015



production reporting server for opsInfo - April 11 this server was not pingable.  



Investigate for Decomm","Windows Server","2014-06-06 15:35","mid_husky","(1) Non-Critical","Item Updated"
"a8m6300000003L4AAI","CRFM - Corporate Responsibility Facility Master, opsInfo Gateway API","CGWAPP663PD","CGWAPP663PD","Production","CGWAPP663PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","2015-11-24: Added correct application. This is production application server for CRFM.

20150824 - Added related Application, AND changed environment to from PROD to Production Support, as per data collected from recent patching . 

PS: The name of the server is modifed to CGCAPP521PS","Windows Server","2014-06-06 10:08","mid_husky","(3) Business Important","Item Updated"
"a8m6300000004PYAAY","","cgwapp664pd.hq","cgwapp664pd.hq","","CGWAPP664PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1.7601","","Windows Server","2014-06-06 10:09","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000004PZAAY","CRFM - Corporate Responsibility Facility Master, opsInfo Gateway API","CGWAPP664PS","CGWAPP664PS","Production Support (PS)","CGWAPP664PS","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","2015-11-24 - Added correct applications. This is the PS server for CRFM.

20150824 - Added related Application, AND changed environment to from Production Support to PROD, as per data collected from recent patching

PS: Updated the server name to CGWAPP522PD","Windows Server","2014-06-09 16:47","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000004PaAAI","","CGWAPP667PD","CGWAPP667PD","Production","CGWAPP667PD","HP","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","as per INC0265013 - SMS PageGate  (Short Messaging System?) - Looks like other servers for this are retired and apparently this didn't actually go to prod.  Deccom?","Windows Server","2014-06-09 14:23","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000003IrAAI","VMware vSphere Web Client","CGWAPP673PD","CGWAPP673PD","Production","CGWAPP673PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Microsoft Windows Server 2008 R2 Standard","Windows Server","2014-06-18 15:55","mid_husky","(4) Business Critical","Item Updated"
"a8m6300000004PbAAI","","CGWAPP678PD","CGWAPP678PD","Production","CGWAPP678PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1.7601","","Windows Server","2014-06-24 15:33","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000004PcAAI","Unknown (Prod Ctl Review)","CGWAPP696PD","CGWAPP696PD","Production","CGWAPP696PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Request to decommission a server: REQ0038683","Windows Server","2014-08-01 8:33","mid_husky","(1) Non-Critical","Item Created"
